route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,direction_name,trip_bikes_allowed,trip_headsign_short
1,86733-0000010-0,19178516,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180448,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386398,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388241,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490945,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099518,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383878,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099519,La Mesa,0,900108,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383879,La Mesa,0,900108,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095078,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096938,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178519,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180447,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386401,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388240,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490948,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099520,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383880,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099521,La Mesa,0,900109,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383881,La Mesa,0,900109,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095073,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096937,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178518,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180442,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386400,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388235,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490947,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099522,La Mesa,0,900106,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383882,La Mesa,0,900106,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099523,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383883,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095076,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096942,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178523,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180445,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386405,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388238,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490952,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099524,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383884,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099525,La Mesa,0,900110,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383885,La Mesa,0,900110,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095072,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096943,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178524,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180441,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386406,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388234,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490953,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099526,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383886,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099527,La Mesa,0,900107,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383887,La Mesa,0,900107,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095069,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096944,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178525,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180438,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386407,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388231,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490954,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099528,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383888,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099529,La Mesa,0,900108,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383889,La Mesa,0,900108,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095067,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096945,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178526,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180436,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386408,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388229,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490955,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099530,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383890,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099531,La Mesa,0,900109,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383891,La Mesa,0,900109,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095064,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096947,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178528,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180433,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386410,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388226,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490957,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099532,La Mesa,0,900106,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383892,La Mesa,0,900106,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099533,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383893,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095065,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096946,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178527,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180434,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386409,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388227,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490956,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099534,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383894,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099535,La Mesa,0,900110,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383895,La Mesa,0,900110,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095061,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096957,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178538,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180430,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386420,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388223,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490967,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099536,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383896,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099537,La Mesa,0,900107,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383897,La Mesa,0,900107,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095062,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096954,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178535,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180431,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386417,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
